Player,Predicted_3P%,TEAM
Jae'Sean Tate,0.3523995652327811,HOU
Jahlil Okafor,0.0001647903340440654,IND
Jahmir Young,0.0001647903340440654,CHI
Jaime Jaquez Jr.,0.3008816477080129,MIA
Jake LaRavia,0.40105596915752345,SAC
Jakob Poeltl,0.09848127544441365,TOR
Jalen Bridges,0.23410746645451855,PHX
Jalen Brunson,0.39448592530194176,NYK
Jalen Duren,0.061430146713663404,DET
Jalen Green,0.37136930501563936,HOU
Jalen Hood-Schifino,0.3381442975040537,PHI
Jalen Johnson,0.34850626342987256,ATL
Jalen McDaniels,6.218905472636816e-06,WAS
Jalen Pickett,0.3790304912654045,DEN
Jalen Smith,0.35836579397480867,CHI
Jalen Suggs,0.3558688360160509,ORL
Jalen Williams,0.37496837858879756,OKC
Jalen Wilson,0.3524979035897603,BKN
Jamal Cain,0.3033884649309607,NOP
Jamal Murray,0.40009985926524777,DEN
Jamal Shead,0.3523343787500721,TOR
Jamaree Bouyea,0.005006218905472637,MIL
James Harden,0.3427223629260459,LAC
James Johnson,0.0,IND
James Wiseman,0.0,IND
Jamison Battle,0.39433586718895053,TOR
Jarace Walker,0.3574760743102624,IND
Jared Butler,0.32990963959959657,PHI
Jared McCain,0.4014208293747616,PHI
Jared Rhoden,0.31398571614018495,TOR
Jaren Jackson Jr.,0.3785948001150339,MEM
Jarred Vanderbilt,0.3415841529376407,LAL
Jarrett Allen,0.05006979300261458,CLE
Javonte Green,0.3632396801554062,CLE
Jaxson Hayes,0.12837028708984374,LAL
Jay Huff,0.4169261109473606,MEM
Jaylen Brown,0.3689715210997095,BOS
Jaylen Clark,0.4091827819541644,MIN
Jaylen Martin,0.43016991500649304,WAS
Jaylen Nowell,0.30548026830901986,NOP
Jaylen Wells,0.3866121260390362,MEM
Jaylin Williams,0.36477288441181627,OKC
Jaylon Tyson,0.2935518890967374,CLE
Jayson Tatum,0.376473862891348,BOS
Jazian Gortman,0.4264118133053378,DAL
Jeff Dowtin Jr.,0.38250415687418277,PHI
Jeff Green,0.3495633353408387,HOU
Jerami Grant,0.3450136095783502,POR
Jeremiah Robinson-Earl,0.3311755920172147,NOP
Jeremy Sochan,0.31863370631486687,SAS
Jericho Sims,0.06749021084117832,MIL
Jesse Edwards,0.0001647903340440654,MIN
Jett Howard,0.31116250453661726,ORL
Jevon Carter,0.34670392345101975,CHI
Jimmy Butler III,0.3052245589159923,GSW
Jock Landale,0.37023436872561705,HOU
Joe Ingles,0.2354836195715813,MIN
Joel Embiid,0.3492718856967481,PHI
John Collins,0.37263532456296644,UTA
John Konchar,0.3620867806879262,MEM
Johnny Davis,0.22850968315712233,WAS
Johnny Furphy,0.32281127887475003,IND
Johnny Juzang,0.38994270741863196,UTA
Jonas Valančiūnas,0.23669914875759107,SAC
Jonathan Isaac,0.2871416949682521,ORL
Jonathan Kuminga,0.34528387285062734,GSW
Jonathan Mogbo,0.3224026789455894,TOR
Jordan Clarkson,0.3539763084458847,UTA
Jordan Goodwin,0.3948866571559557,LAL
Jordan Hawkins,0.35137890175988995,NOP
Jordan McLaughlin,0.43341525180225055,SAS
Jordan Miller,0.1973501879455001,LAC
Jordan Poole,0.3723045645247028,WAS
Jordan Walsh,0.2946161006083897,BOS
Jose Alvarado,0.3618562669171412,NOP
Josh Christopher,0.0,MIA
Josh Giddey,0.3727353893105143,CHI
Josh Green,0.3864519753731829,CHA
Josh Hart,0.3524379232139664,NYK
Josh Minott,0.23042566730233893,MIN
Josh Okogie,0.3853684141222073,CHA
Josh Richardson,0.2965689190219651,MIA
Jrue Holiday,0.38210850595682777,BOS
Julian Champagnie,0.36825662833641426,SAS
Julian Phillips,0.31881342375187177,CHI
Julian Strawther,0.3892180747670333,DEN
Julius Randle,0.363187698988021,MIN
Justin Champagnie,0.37712921567879504,WAS
Justin Edwards,0.4043945794136223,PHI
Justin Minaya,0.0,POR
Jusuf Nurkić,0.30844294091669205,CHA
KJ Martin,0.3415841529376407,UTA
KJ Simpson,0.28297819798130297,CHA
Kai Jones,0.34071000397466306,DAL
Karl-Anthony Towns,0.39083549287199915,NYK
Karlo Matković,0.3415841529376407,NOP
Kawhi Leonard,0.39122914594190233,LAC
Keaton Wallace,0.349273902650177,ATL
Keegan Murray,0.3856940495957908,SAC
Keion Brooks Jr.,0.0,NOP
Kel'el Ware,0.34277455128075224,MIA
Keldon Johnson,0.36041251222448395,SAS
Kelly Olynyk,0.41362690323358714,NOP
Kelly Oubre Jr.,0.35432676403060887,PHI
Kenrich Williams,0.3815071646732445,OKC
Kentavious Caldwell-Pope,0.38432737172212705,ORL
Keon Ellis,0.4169694419705459,SAC
Keon Johnson,0.34672545547298506,BKN
Keshad Johnson,0.25298121622132574,MIA
Kessler Edwards,0.4092212609723827,DAL
Kevin Durant,0.3827411238740764,PHX
Kevin Huerter,0.36775249706886554,CHI
Kevin Knox II,0.262790291129331,GSW
Kevin Love,0.33766214937090744,MIA
Kevin Porter Jr.,0.3283591880095556,MIL
Kevon Looney,0.04107433852741213,GSW
Keyonte George,0.34330033786354236,UTA
Khris Middleton,0.39844987759924133,WAS
Killian Hayes,0.3708206791921068,BKN
Klay Thompson,0.368152907316444,DAL
Kobe Brown,0.15252918882335798,LAC
Kobe Bufkin,0.2390670757460448,ATL
Kris Dunn,0.342384995047288,LAC
Kris Murray,0.26376185079626246,POR
Kristaps Porziņģis,0.3842634715245045,BOS
Kyle Anderson,0.34148448467225306,MIA
Kyle Filipowski,0.37016517333679366,UTA
Kyle Kuzma,0.3605345110984882,MIL
Kyle Lowry,0.3193696016380181,PHI
Kylor Kelley,6.218905472636816e-06,DAL
Kyrie Irving,0.39068233182631545,DAL
