Player,Predicted_3PA,TEAM
Markieff Morris,2.5447982031448513,LAL
Marvin Bagley III,0.455561423357407,MEM
Mason Jones,0.724326502822757,SAC
Mason Plumlee,0.036330896668809086,PHX
Matas Buzelis,3.1395059842710693,CHI
Matisse Thybulle,1.7131971983921312,POR
Matt Ryan,0.984884408220322,NYK
Max Christie,4.020250671011887,DAL
Max Strus,6.0627362517604695,CLE
Maxi Kleber,1.4637798432928064,LAL
Maxwell Lewis,0.8044630361761514,BKN
Micah Potter,2.5512040706960173,UTA
Michael Porter Jr.,6.3269674246732555,DEN
Mikal Bridges,5.936420542160708,NYK
Mike Conley,4.579585018051677,MIN
Miles Bridges,7.01843858731392,CHA
Miles McBride,4.87677873331659,NYK
Miles Norris,0.03389638456796368,BOS
Mitchell Robinson,0.1368829675046078,NYK
Mo Bamba,1.7740732123421712,NOP
Monté Morris,1.8014909744546637,PHX
Moritz Wagner,2.515723191423306,ORL
Moses Brown,0.0940163168101758,DAL
Moses Moody,4.448833219206331,GSW
Mouhamed Gueye,2.7739294312442597,ATL
Moussa Diabaté,0.004110759861513558,CHA
Myles Turner,5.367423663821735,IND
N'Faly Dante,0.4918732692401428,HOU
Nae'Qwan Tomlin,0.26723074457188206,CLE
Naji Marshall,3.2077614969154906,DAL
Nate Williams,1.2648671760649988,HOU
Naz Reid,6.001616406077172,MIN
Neemias Queta,0.0227508821612498,BOS
Nic Claxton,0.20677565126601147,BKN
Nick Richards,0.02506898610491668,PHX
Nick Smith Jr.,4.92957466248047,CHA
Nickeil Alexander-Walker,4.371690503972246,MIN
Nicolas Batum,2.649513837296061,LAC
Nikola Jokić,4.615224942410153,DEN
Nikola Jović,4.608198217048757,MIA
Nikola Vučević,4.474784834686965,CHI
Noah Clowney,5.529345855941538,BKN
Norman Powell,7.870156174025815,LAC
OG Anunoby,6.146139304282613,NYK
Obi Toppin,3.707228626516293,IND
Ochai Agbaji,3.750480295038685,TOR
Olivier-Maxence Prosper,0.8525031717090535,DAL
Onyeka Okongwu,1.5664643905328945,ATL
Orlando Robinson,0.7881334324054815,TOR
Oscar Tshiebwe,0.06879444969923126,UTA
Oshae Brissett,3.4202486275886304,PHI
Oso Ighodaro,0.05987403255986103,PHX
Ousmane Dieng,1.8840358311801637,OKC
P.J. Tucker,0.03389638456796368,NYK
P.J. Washington,4.393272822513811,DAL
PJ Dozier,0.23296854952035256,MIN
PJ Hall,0.4688644093385221,DEN
Pacôme Dadiet,1.2191086413987353,NYK
Paolo Banchero,6.0829682591863445,ORL
Pascal Siakam,4.222721237143106,IND
Pat Connaughton,1.9104225028726036,MIL
Pat Spencer,0.7769514014852714,GSW
Patrick Baldwin Jr.,0.9395842034759176,LAC
Patrick Williams,4.435064999466587,CHI
Patty Mills,2.588844956261781,LAC
Paul George,6.401163583743425,PHI
Paul Reed,0.6239154409744755,DET
Payton Pritchard,7.870482531149106,BOS
Pelle Larsson,1.5891657351215194,MIA
Pete Nance,1.400328128688564,MIL
Peyton Watson,1.929348064404868,DEN
Precious Achiuwa,0.6754763550121095,NYK
Quentin Grimes,5.057446288864244,PHI
Quenton Jackson,1.3149630408072706,IND
Quincy Olivari,2.5302604770180563,LAL
Quinten Post,4.205136348129174,GSW
RJ Barrett,5.362228431436409,TOR
RayJ Dennis,0.6143997012737192,IND
Rayan Rupert,0.7972949817363563,POR
Reece Beekman,0.9701093794257609,BKN
Reed Sheppard,2.5374907461742824,HOU
Reggie Jackson,2.411637873020141,PHI
Richaun Holmes,0.03241553278297226,WAS
Ricky Council IV,2.7787074866842323,PHI
Riley Minix,0.4927960540470628,SAS
Rob Dillingham,1.7571515415637577,MIN
Robert Williams III,0.27031894858073935,POR
Ronald Holland II,1.7428237333554217,DET
Royce O'Neale,5.830747313768949,PHX
Rudy Gobert,0.03338474780697047,MIN
Rui Hachimura,4.148468272834926,LAL
Russell Westbrook,3.820920771741713,DEN
Ryan Dunn,3.2328246871699493,PHX
Ryan Rollins,1.9614497607505201,MIL
Sam Hauser,5.3055464979205444,BOS
Sam Merrill,5.153651673350657,CLE
Sandro Mamukelashvili,2.177114305426613,SAS
Santi Aldama,4.7369876039088314,MEM
Scoot Henderson,4.472148315104882,POR
Scottie Barnes,4.449653788011756,TOR
Scotty Pippen Jr.,2.772079680859124,MEM
Seth Curry,2.704573080253315,CHA
Shaedon Sharpe,6.3979778121666975,POR
Shai Gilgeous-Alexander,5.561503148580518,OKC
Shake Milton,1.9213850696475012,LAL
Sidy Cissoko,0.4322448787558496,POR
Simone Fontecchio,2.961261879835224,DET
Skal Labissiere,0.33935334256816596,SAC
Spencer Dinwiddie,4.1817094097782235,DAL
Spencer Jones,0.749123746814604,DEN
Stanley Umude,0.5295750297065946,MIL
Stephen Curry,10.93386140907383,GSW
Stephon Castle,4.139936651631929,SAS
Steven Adams,0.10252137225185676,HOU
Svi Mykhailiuk,5.8847065265780705,UTA
T.J. McConnell,0.6410623709671658,IND
Taj Gibson,0.0755297961445498,CHA
Talen Horton-Tucker,1.9224968831273117,CHI
Tari Eason,3.1806462134074187,HOU
Taurean Prince,4.104864960622954,MIL
Taylor Hendricks,4.092713148896758,UTA
Tazé Moore,1.9721079268306314,POR
Terance Mann,2.4574126261405684,ATL
Terrence Shannon Jr.,1.1789522670388284,MIN
Terry Rozier,4.992818865988118,MIA
Thomas Bryant,2.3918702383232326,IND
Tidjane Salaün,3.1018724154805253,CHA
Tim Hardaway Jr.,5.901471956043658,DET
Tobias Harris,3.535281926117811,DET
Tony Bradley,0.13193330076062587,IND
Torrey Craig,2.983185977420052,BOS
Tosan Evbuomwan,2.726594613095374,BKN
Toumani Camara,4.31257181297026,POR
Trae Young,8.455721097918994,ATL
Trayce Jackson-Davis,0.03910334782593904,GSW
Tre Jones,1.0688128520087405,CHI
Tre Mann,4.507883037321886,CHA
Trendon Watford,1.9342357244990696,BKN
Trentyn Flowers,0.609146692690472,LAC
Trevelin Queen,2.4879733929455696,ORL
