Player,Predicted_3P,TEAM
Isaiah Hartenstein,0.010071195839196098,OKC
Isaiah Jackson,-0.0009483267273422527,IND
Isaiah Joe,2.4491892557187898,OKC
Isaiah Stewart,0.21301962224955132,DET
Isaiah Wong,0.6721298529645856,CHA
Ivica Zubac,-0.0009714523348049425,LAC
JD Davison,0.24589311971923122,BOS
JT Thor,0.32713233930641494,WAS
Ja Morant,1.5089665784624036,MEM
Ja'Kobe Walter,1.0023469105254001,TOR
Jabari Smith Jr.,1.6913257046464767,HOU
Jabari Walker,0.4421998509656349,POR
Jack McVeigh,0.5560639500965132,HOU
Jackson Rowe,0.411057469301807,GSW
Jacob Toppin,0.0005063513561449078,ATL
Jaden Hardy,1.2829202556558852,DAL
Jaden Ivey,2.0943255358714956,DET
Jaden McDaniels,1.330849064611266,MIN
Jaden Springer,0.26302844250221985,UTA
Jae Crowder,0.41465723775143304,SAC
Jae'Sean Tate,0.2638273142043166,HOU
Jahlil Okafor,-0.0008804354318105565,IND
Jahmir Young,-0.0008804354318105565,CHI
Jaime Jaquez Jr.,0.5438019596357279,MIA
Jake LaRavia,0.9084957933052333,SAC
Jakob Poeltl,0.007158728013812157,TOR
Jalen Bridges,0.20055137379267932,PHX
Jalen Brunson,2.3362736649119644,NYK
Jalen Duren,-0.0009714523348049425,DET
Jalen Green,3.0259796491608397,HOU
Jalen Hood-Schifino,1.1370160327744228,PHI
Jalen Johnson,1.208005281617675,ATL
Jalen McDaniels,-0.0008804354318105565,WAS
Jalen Pickett,0.7242343615470396,DEN
Jalen Smith,1.187752841140147,CHI
Jalen Suggs,2.1914368563998776,ORL
Jalen Williams,1.8118914226890415,OKC
Jalen Wilson,1.343314827041482,BKN
Jamal Cain,0.531865425796524,NOP
Jamal Murray,2.373367477523836,DEN
Jamal Shead,0.876793572196713,TOR
Jamaree Bouyea,-0.0009483267273422527,MIL
James Harden,2.9589803097882483,LAC
James Johnson,0.010284878503221368,IND
James Wiseman,-0.0014304925848913888,IND
Jamison Battle,1.5734479253577975,TOR
Jarace Walker,0.8314360597045546,IND
Jared Butler,0.6913452373750932,PHI
Jared McCain,2.2114652966144326,PHI
Jared Rhoden,0.8114206787808285,TOR
Jaren Jackson Jr.,1.8808916682234502,MEM
Jarred Vanderbilt,0.3815676812417434,LAL
Jarrett Allen,-0.0008911917362372842,CLE
Javonte Green,0.7998102134626505,CLE
Jaxson Hayes,-0.00011843800093471522,LAL
Jay Huff,1.322088309454047,MEM
Jaylen Brown,1.8304361066000998,BOS
Jaylen Clark,0.6973363744070036,MIN
Jaylen Martin,0.4857357259349825,WAS
Jaylen Nowell,1.0083532881843575,NOP
Jaylen Wells,1.7866073212769025,MEM
Jaylin Williams,1.203670654962909,OKC
Jaylon Tyson,0.32803261121812005,CLE
Jayson Tatum,3.77386773076983,BOS
Jazian Gortman,0.26808610467778315,DAL
Jeff Dowtin Jr.,0.613926642217747,PHI
Jeff Green,0.7194360906692941,HOU
Jerami Grant,2.2878014937778475,POR
Jeremiah Robinson-Earl,0.7414851955247419,NOP
Jeremy Sochan,0.522203616438986,SAS
Jericho Sims,-0.00024975203279386257,MIL
Jesse Edwards,-0.0008804354318105565,MIN
Jett Howard,0.8786286858530031,ORL
Jevon Carter,0.8158299510893845,CHI
Jimmy Butler III,0.514211813538844,GSW
Jock Landale,0.19989225190639895,HOU
Joe Ingles,0.16542015114938716,MIN
Joel Embiid,1.2085383330951764,PHI
John Collins,1.4682371995330277,UTA
John Konchar,0.4941798848783457,MEM
Johnny Davis,0.20830567547973217,WAS
Johnny Furphy,0.285391442142271,IND
Johnny Juzang,1.6518138279768233,UTA
Jonas Valančiūnas,0.11140582263657958,SAC
Jonathan Isaac,0.6164515991491852,ORL
Jonathan Kuminga,1.1122550066249435,GSW
Jonathan Mogbo,0.27985586086293673,TOR
Jordan Clarkson,2.284054225767085,UTA
Jordan Goodwin,1.2058958546766585,LAL
Jordan Hawkins,1.9141249091512216,NOP
Jordan McLaughlin,0.34054485756750374,SAS
Jordan Miller,0.24319226447356762,LAC
Jordan Poole,3.3317754114248728,WAS
Jordan Walsh,0.2935223106539616,BOS
Jose Alvarado,1.9613824253656225,NOP
Josh Christopher,-0.0007969270954788179,MIA
Josh Giddey,1.4970868154183536,CHI
Josh Green,1.400495007729185,CHA
Josh Hart,1.1095864835302371,NYK
Josh Minott,0.2270179875838323,MIN
Josh Okogie,0.7760903107809684,CHA
Josh Richardson,0.7648755409092778,MIA
Jrue Holiday,1.7214552766503193,BOS
Julian Champagnie,2.005233122294937,SAS
Julian Phillips,0.6540270082822701,CHI
Julian Strawther,1.517294198302478,DEN
Julius Randle,1.4906201586615568,MIN
Justin Champagnie,1.0839714648090004,WAS
Justin Edwards,1.4924988842002809,PHI
Justin Minaya,-0.0007969270954788179,POR
Jusuf Nurkić,0.6327474513984374,CHA
KJ Martin,0.3806544372394524,UTA
KJ Simpson,0.7117335794107991,CHA
